,video_id,trending_date,title,channel_title,category_id,publish_time,tags,views,likes,dislikes,comment_count,description,Days_in_TopTrending,like_rate,willing_to_like,willing_to_comment,like_or_not,category,sub_category
10,JnepCulEQOo,2018-01-04 00:00:00,"Watch Tesla's Secret Santa Mode!  Easter Egg with Icy Roads, Reindeer, Jingle Bells and More",DragTimes,2,2017-12-23 23:57:32,"tesla|""model s""|""model x""|""easter egg""|""tesla santa mode""|""santa mode""|""tesla holidays""",168863,1181,282,255,"The HIDDEN Easter Egg inside this is revealed by saying Ho Ho Ho Not Funny as a voice command to the car!\n\nTesla released a new easter egg for the Holidays called Santa Mode, watch us enable it and show you what it does!\n\nSupport DragTimes on it's quest for a new Tesla Roadster, use this link if you are buying a Tesla to save $ and help us: http://www.dragtimes.com/tesla.php",11,0.8072453861927547,0.0086638280736455,0.001510099903472,0,Autos & Vehicles,great cars series
11,azUbCdcAeFM,2018-05-21 00:00:00,Tesla 2018,Tesla,2,2018-05-10 01:03:00,"tesla|""model s""|""model x""|""model 3""|""powerwall""|""electric car""|""elon musk""|""ludicrous""|""battery""",1052662,40690,627,2739,https://www.tesla.com/,10,0.9848246484497908,0.039250015674547,0.0026019748029281,1,Autos & Vehicles,great cars series
12,WIWb8f1WIyQ,2018-01-04 00:00:00,"PART 1 | Gwen Stefani with Blake Shelton | Instagram | December 24, 2017 | Christmas Eve with family",Famous Celebrities Snaps,2,2017-12-25 03:08:33,"famous|""celebrities""|""actor""|""actress""|""stories""|""snapshot""|""snap""|""instagram""|""apollo""|""zuma""|""gwen""|""blake""|""shefani""|""mistletoe""",485534,0,0,784,"Like, Share and Subscribe!",9,0.0,0.0,0.0016147169920129,0,Autos & Vehicles,
13,s0Uxzh1E94U,2018-04-07 00:00:00,Genetic Select by Lexus,LexusVehicles,2,2018-03-28 12:00:12,"Lexus Genetic Select|""Lexus April Fools""|""23andMe""|""Lexus and 23andMe""|""DNA""|""Genetic Select by Lexus""|""23 and me and Lexus""|""Lexus commerical""|""April Fools""",1823117,2205,258,301,Introducing Genetic Select by Lexus in partnership with 23andMe. The world’s first service that uses human genetics to match you with the car of your genes. Learn more at http://www.lexus.com/geneticselect. #GeneticSelect #ExperienceAmazing \n\n\nGo to our website: http://www.lexus.com \nFind us on Facebook: http://www.facebook.com/lexus \nFind us on Google+: http://www.plus.google.com/... \nFollow us on Twitter: http://twitter.com/lexus \nFollow us on Instagram: http://instagram.com/lexususa\nLexus Drivers: http://drivers.lexus.com \nSEE: https://see.lexus.com  \n \nAbout Lexus: Welcome to the official Lexus YouTube channel. This is your front-row seat to Experiencing Amazing.\n \nYouTube: http://www.youtube.com/lexus,9,0.8952496954933008,0.0013509829594041,0.0001651018557777,0,Autos & Vehicles,great cars series
14,98QDI87DdcY,2018-02-19 00:00:00,What's inside 2018 Mercedes A-Class?,WHAT'S INSIDE? FAMILY,2,2018-02-10 16:30:00,"Top in car Mercedes Tech revealed|""mercedes""|""carwow""|""mat watson""|""4k review""|""top 10""|""amg""|""car""|""a-class""|""interior""|""infotainment""|""comand""|""autonomous""|""review""|""new""|""technology""|""voice control""|""mercedes benz""|""mercedes amg""|""amsterdam""|""netherlands""|""car launch""",154363,2603,324,485,First Look inside the most advanced in car Tech in ANY Mercedes!\nAlso watch Mercedes Electric Car: https://youtu.be/vYZGKHc2zdY\n\nWatch Zacks video here: https://youtu.be/9te83XGyLqg\n\nHere is our Current Car: https://youtu.be/eD5yKcxxylA\n\nThanks Mercedes for the awesome trip to Amsterdam to see this car! Stoked for the future of Tech in Cars!,8,0.8893064571233344,0.0189617978401559,0.003141944636992,0,Autos & Vehicles,great cars series
15,glHNu91zUdA,2018-03-06 00:00:00,Volkswagen Gassed Monkeys To Prove Diesels Are Clean,Engineering Explained,2,2018-02-25 15:00:06,"vw diesel monkey|""monkeys""|""vw""|""volkswagen""|""dieselgate""|""vw tested monkeys""|""vw dieselgate""|""vw clean diesel""|""crab-eating macaque""|""netflix""|""new york times""|""defeat device""|""vw gassed monkeys""|""diesel monkey gas""|""diesel""|""vw beetle""|""volkswagen beetle""|""vw tdi""|""tdi""|""vw beetle tdi""|""engineering explained""|""be kind""|""do good""",186453,7332,279,2334,"How Volkswagen's Diesel Defeat Device Works\nDonate to West Virginia University - https://give.wvu.edu/\nEE Shirts! - http://bit.ly/2BHsiuo\nRecommended Books & Car Products - http://amzn.to/2BrekJm\nSubscribe for new videos every Wednesday! - https://goo.gl/VZstk7\n\nRelated Links:\nNetflix Documentary - http://bit.ly/2EPC0sE\nWhat is Dieselgate? - http://bit.ly/2ojm3Vt\nHow VW Defeat Device Works - http://nyti.ms/2sb17in\nVW Emissions Systems - http://bit.ly/2GAJrEz\nVW Monkey Testing - http://nyti.ms/2oroCVF\n\nUnder the disguise of the EUGT, a European research group aimed at studying transportation and health, VW oversaw a study in which crab-eating macaques were placed in chambers, forced to inhale diesel exhaust fumes, in an attempt to prove that modern diesel vehicles are much cleaner than their predecessors. \n\nNot only were monkeys exposed to toxic emissions, but the test was all a lie, as Volkswagen oversaw testing to verify their 'defeat device' was working properly, ensuring that the results would skew in VW's favor. And yet even after West Virginia University discovered the corruption, VW wouldn't announce that the defeat device worked until it had been proven again through testing by the California Air Resources Board. It's a reminder that we all need to be better, do better, and do the right thing. \n\nEngineering Explained is a participant in the Amazon Influencer Program.\n\nDon't forget to check out my other pages below!\nFacebook: http://www.facebook.com/engineeringexplained\nOfficial Website: http://www.howdoesacarwork.com\nTwitter: http://www.twitter.com/jasonfenske13\nInstagram: http://www.instagram.com/engineeringexplained\nCar Throttle: https://www.carthrottle.com/user/engineeringexplained\nAmazon: https://www.amazon.com/shop/engineeringexplained\nEE Extra: https://www.youtube.com/channel/UCsrY4q8xGPJQbQ8HPQZn6iA\n\nNEW VIDEO EVERY WEDNESDAY!",8,0.9633425305478912,0.0408199385367894,0.0125178999533394,1,Autos & Vehicles,great cars series
16,zMKI64iY2CY,2018-02-16 00:00:00,Falcon Heavy Makes History - Cheaper Spaceflight,ColdFusion,2,2018-02-08 10:02:35,"Coldfusion|""TV""|""Dagogo""|""Altraide""|""Technology""|""Apple""|""Google""|""Samsung""|""Facebook""|""Tesla""",302660,19060,227,1868,"Subscribe here: https://goo.gl/9FS8uF\nBecome a Patron!: https://www.patreon.com/ColdFusion_TV\nCF Bitcoin address: 13SjyCXPB9o3iN4LitYQ2wYKeqYTShPub8\n\nSpaceX has successfully tested the Falcon Heavy Rocket, proving that large-volume reusable rockets are indeed feasible. This is set to drastically reduce the price of space travel.\n\nHi, welcome to ColdFusion (formerly known as ColdfusTion).\nExperience the cutting edge of the world around us in a fun relaxed atmosphere.\n\nSources:\n\nhttp://www.abc.net.au/news/2018-02-07/spacex-rocket-takes-sports-car-into-space/9403618\n\nhttps://www.popularmechanics.com/space/rockets/a16640150/falcon-heavy-launches-most-powerful-rocket-world/\n\nPost-Launch Press Conference: https://www.youtube.com/watch?v=KORTP545vAc \n\n//Soundtrack//\n\nComing Soon\n\n» Google + | http://www.google.com/+coldfustion\n\n» Facebook | https://www.facebook.com/ColdFusionTV\n\n» My music | http://burnwater.bandcamp.com or \n» http://www.soundcloud.com/burnwater\n» https://www.patreon.com/ColdFusion_TV\n» Collection of music used in videos: https://www.youtube.com/watch?v=YOrJJKW31OA\n\nProducer: Dagogo Altraide\n\n» Twitter | @ColdFusion_TV",7,0.9882304142686784,0.0637249719156809,0.0061719421132624,1,Autos & Vehicles,great cars series
17,muAPJiMho2Y,2017-12-23 00:00:00,DELIT DE FUITE - le Justicier de Noël,CHRIS-RS,2,2017-12-15 16:00:03,"Z800|""Z800E""|""KAWASAKI""|""PARIS""|""GOPRO""|""CAM""|""MOTO""|""PARISIEN""|""STUNT""|""RS""|""YAMAHA""|""MT07""|""MT10""|""MT9""|""TMAX""|""H2""|""HJC""|""LORENZO""|""RIDER""|""MOTARD""|""CRASH""|""FRANCE""|""VLOG""|""YOUTUBE""|""delit de fuite""|""accident""|""crash""|""police""",3044139,97030,928,10591,"Et bien oui...encore un délit de fuite, je suis toujours là quand il y a de l'action. C'était parti pour une bonne journée, j'avais mis mon costume de Père Noël pour une nouvelle vidéo. Les gens étaient content de me voir habillé comme ça et de leur faire coucou. C'est après la Place Vendôme que cette scène dramatique arrive. Comme la dernière fois, je me devais d'essayer d'arrêter cette personne. J'ai eu des nouvelles de l'accidenté et il se remet sans trop de mal....\n\nMa Boutique : http://www.budnbee.com/chrisrs \n\nMon FACEBOOK : https://www.facebook.com/chris.rs.142\n\nMon INSTAGRAM : https://www.instagram.com/92izilife58/?hl=fr\n\nMUSIC :\nTwelve Titans Music - We Need Heroes - https://youtu.be/lWzrsNvqV94\n\nPosition Music - Lust For Power - https://youtu.be/95DxDR1z1fk\n\nMoto...Z800 FULL \nCam...Gopro Hero 5\nLogiciel de montage...Pinacle 20\n\nN'hésitez pas a me dire ce que vous en pensez en commentaire toutes critiques est Toujours bonne a prendre !!!\nAh oui, si vous aimez abonnez Vous, le Dieu de la Bécane vous le rendra !!!",7,0.9905265521958392,0.0321792138926639,0.0034791446776904,1,Autos & Vehicles,accident
18,9i3GtPIS0-4,2018-02-16 00:00:00,Making a Handheld Air Cannon Steampunk/Powerfull,colinfurze,2,2018-02-08 16:00:02,"colin|""furze""|""colinfurze""|""air""|""cannon""|""potatoe""|""gun""|""handheld""|""steampunk""|""powerful""|""how to""|""making of""|""workshop""|""metalwork""|""awesome""|""brilliant""|""best""|""rocking""|""launcher""",571347,30468,229,1417,"So like a potato Gun but has interchanagable nozzles, variable pressure and looks way better than some bits of drain pipe.\n\nNext video will see how much fun it is.\n\nCrazy inventions\nhttps://www.youtube.com/playlist?list=PLGjbAdaOBLBkRhaLzdPjTMvVrRnm1qTrf\n\nEpic Machines\nhttps://www.youtube.com/playlist?list=PLGjbAdaOBLBnaHyo8G3xt7cVTg5asaR3L\n\ncheck on my social channels for more\n\nTwitter https://twitter.com/colin_furze\nInstagram https://www.instagram.com/realcolinfurze/\nFacebook https://www.facebook.com/Colin-furze-521680751253584\n\nMusic\n\nTrack 1 The Deal and is by Banjax more on them here https://banjax.bandcamp.com\n\nTrack 2 is Airplain and is by rescape, check out the video here https://www.youtube.com/channel/UCXXpZKiY8SSlkmPBg1B4eyA \n\nIn a band, want your music on my videos! Send your tracks to furzemail@yahoo.co.uk as all music on this channel is from viewer's",7,0.9925399876209402,0.0537274195891463,0.0024801040348509,1,Autos & Vehicles,
19,oMOljrWUUXc,2018-02-13 00:00:00,Official Jeep Super Bowl Commercial | Jeep Jurassic,Jeep,2,2018-02-05 02:00:12,"Jeff Goldblum|""Jeep off roading""|""jeep off road""|""jeep dealership""|""jeep dealership test drive""|""tyrannosaurus rex""|""dinosaurs jeep""|""jeep driving""|""jeep super bowl commercials""|""jeep super bowl ad""|""jeep ad""|""jeep sb video""|""jeep super bowl video""|""jurassic commercials""|""2018 jeep Wrangler""|""jeep sb ad""|""jeep sblii commercials""|""2018 Super Bowl""|""jeep official super bowl ad""|""jeep official Super Bowl commercial""|""jurassic world""|""jurassic park""|""jeep dinosaur chase""|""trex jeep""",11135294,15412,608,1309,"Marvel at the unmatched capability of the All-New 2018 Jeep® Wrangler as it goes head-to-head with the mighty T-Rex, in our 2018 Big Game Commercial. And, see Jurassic World: Fallen Kingdom, in theaters June 22.\n\n\n\nFor more than 75 years, the Jeep name has been indelibly associated with freedom, authenticity, adventure and passion. These are vehicles for “dreamers and doers” - forging extraordinary, uncommon bonds between themselves and their owners, because adventure is found in every Jeep vehicle’s DNA. The Jeep badge stands for more than a brand. In truth, it’s a badge of honor. \n\nSubscribe to the Jeep brand YouTube channel: https://www.youtube.com/Jeep \n\nFollow The Jeep brand on Social: \n· Facebook: https://www.facebook.com/jeep \n· Twitter: https://twitter.com/jeep \n· Instagram: https://instagram.com/jeep \n· Tumblr: http://jeep.tumblr.com/ \n· Jeep Blog: http://blog.jeep.com/ \n· Pinterest: https://www.pinterest.com/jeep/",7,0.962047440699126,0.0014386687949146,0.0001175541480988,1,Autos & Vehicles,great cars series
20,X2BfTXIwABo,2018-02-28 00:00:00,MARVEL COMICS 2018: A Fresh Start,Marvel Entertainment,2,2018-02-20 15:00:05,"marvel|""comics""|""comic books""|""nerdy""|""geeky""|""super hero""|""superhero""|""marvel publishing""",400237,9618,732,2447,"New Creative Teams. New Series. New Directions. New Beginnings. Make Mine Marvel!\n► Subscribe to Marvel: http://bit.ly/WeO3YJ\n\nFollow Marvel on Twitter: ‪https://twitter.com/marvel\nLike Marvel on FaceBook: ‪https://www.facebook.com/Marvel\n\nFor even more news, stay tuned to:\nTumblr: ‪http://marvelentertainment.tumblr.com/\nInstagram: https://www.instagram.com/marvel\nGoogle+: ‪https://plus.google.com/+marvel\nPinterest: ‪http://pinterest.com/marvelofficial",7,0.9292753623188406,0.0258596781407016,0.0061138775275649,1,Autos & Vehicles,great cars series
21,76XBys_HXq4,2018-02-11 00:00:00,Toyota 2018 Big Game Ad: One Team (Extended Cut),Toyota USA,2,2018-02-03 13:00:06,"Toyota|""Toyotathon""|""ToyotaUSA""|""Let's Go Places""|""Entune""|""Car""|""Automobile""|""Vehicle""|""Toyotausa""|""Toyotavideo""|""commercial""|""Toyota 2018 Big Game Ad (Extended Cut) | Toyota""|""superbowl 2018""|""super bowl 2018""|""super bowl commericials""|""super bowl 2018 commercial""|""toyota superbowl""|""super bowl ads""|""2018 super bowl commercials""|""super bowl commercials""",213341,904,103,94,"We're all one team. Visit http://Toyota.com. #LetsGoPlaces\n\nSUBSCRIBE: http://bit.ly/ToyotaSubscribe\n\nAbout Toyota:\nWe’re in the business of making great cars and trucks. But we also work every day to apply and share our know-how in ways that benefit people, the community and our planet in order to build a better tomorrow. We’ve been a part of life in America for over 50 years. And while we’re passionate about making great cars and trucks, our story is about much more than our vehicles. \n\nConnect with Toyota USA online:\nVisit the Toyota WEBSITE: http://bit.ly/ToyotaSite\nLike Toyota on FACEBOOK: http://bit.ly/ToyotaUSAFB\nFollow Toyota on TWITTER: http://bit.ly/ToyotaTwitter\nFollow Toyota on INSTAGRAM: http://bit.ly/ToyotaInsta\n+1 Toyota on GOOGLE+: http://bit.ly/ToyotaUSAGplus\n\nToyota 2018 Big Game Ad: One Team (Extended Cut)\nhttp://www.youtube.com/user/ToyotaUSA",7,0.8977159880834161,0.0047201428698656,0.0004406091656081,0,Autos & Vehicles,great cars series
